participant_id	ios_p
sub-1001	5
sub-1002	5
sub-1003	3
sub-1004	3
sub-1006	5
sub-1007	5
sub-1009	6
sub-1010	6
sub-1011	5
sub-1012	5
sub-1013	4
sub-1015	4
sub-1016	3
sub-1019	3
sub-1021	2
sub-1240	5
sub-1242	5
sub-1243	3
sub-1244	2
sub-1245	6
sub-1247	5
sub-1248	5
sub-1249	7
sub-1251	5
sub-1253	6
sub-1255	4
sub-1276	2
sub-1282	5
sub-1286	5
sub-1294	5
sub-1300	6
sub-1301	4
sub-1302	4
sub-1303	6
sub-3101	4
sub-3116	4
sub-3122	7
sub-3125	7
sub-3140	7
sub-3143	6
sub-3152	6
sub-3164	6
sub-3166	4
sub-3167	4
sub-3170	7
sub-3173	3
sub-3175	5
sub-3176	6
sub-3186	5
sub-3189	4
sub-3190	4
sub-3199	3
sub-3200	5
sub-3206	4
sub-3210	3
sub-3212	7
sub-3218	5
sub-3220	5
sub-3223	4
